run_id,date,task_pair,mode,task_type,risk,input_tokens,output_tokens,cache_read_tokens,estimated_cache_write_tokens,legacy_cache_hit_rate,estimated_raw_cache_hit_rate,token_leverage_ratio,estimated_cold_load_overhead_ratio,bei_composite,audit_score_0_5,validation_passed,rework_turns,defect_or_reopen_count,skills_invoked,files_touched,notes
example,2026-05-30,docs-1,Full,docs,low,,,,,,,,,,,,,,,,"template row only"
docs-index-1-full,2026-05-31,docs-index-1,Full,docs,low,282340,5105,220672,39000,0.438701,0.849811,0.018081,0.138131,0.780032,5.000000,true,0,0,"gcs-architecture-steward,gcs-kernel-contract-steward",1,thread=019e79b1-0eb3-7df0-94f3-f17e3ac66f6a; artifact=contracts-index-full.md; bei=experimental_proxy
docs-index-1-lite,2026-05-31,docs-index-1,Lite,docs,low,348914,3303,307200,39000,0.468211,0.887348,0.009467,0.111775,0.765754,5.000000,true,0,0,gcs-architecture-steward,1,thread=019e79b7-0a06-7843-897e-b52d9b5ff87e; artifact=pipeline-index-lite.md; bei=experimental_proxy
token-diagnostic-1-lite,2026-05-31,token-diagnostic-1,Lite,audit,low,532061,4612,496384,39000,0.482655,0.927155,0.008668,0.073300,0.675602,4.000000,true,0,0,gcs-token-audit-steward,1,thread=019e79dd-cea9-7a10-b3fd-6844b24ba77b; artifact=recent-lite.md; bei=experimental_proxy
token-diagnostic-1-full,2026-05-31,token-diagnostic-1,Full,audit,low,564735,6260,509056,39000,0.474074,0.928839,0.011085,0.069059,0.679577,4.000000,true,0,0,gcs-token-audit-steward,1,thread=019e79dd-ef58-7893-8dd2-686daf9bd9e9; artifact=high-cache-full.md; bei=experimental_proxy
repo-audit-1-full,2026-05-31,repo-audit-1,Full,audit,low,510029,4852,464512,39000,0.476647,0.922544,0.009513,0.076466,0.721691,4.500000,true,0,0,gcs-repository-audit-steward,1,thread=019e79de-0dc8-72c3-aed2-b0066c7d2878; artifact=docs-scope-full.md; bei=experimental_proxy
repo-audit-1-lite,2026-05-31,repo-audit-1,Lite,audit,low,167292,2251,147200,39000,0.468056,0.790548,0.013456,0.233125,0.683717,4.000000,true,0,0,gcs-repository-audit-steward,1,thread=019e79de-3053-76b1-89b4-bda2a4c24969; artifact=tools-scope-lite.md; bei=experimental_proxy
task-card-audit-1-lite,2026-05-31,task-card-audit-1,Lite,audit,low,184398,2195,161536,39000,0.466956,0.805521,0.011904,0.211499,0.680503,4.000000,true,0,0,task-scoped-session-closer,1,thread=019e79e3-232d-73c1-a534-01ba7edaed8d; artifact=implementation-card-lite.md; bei=experimental_proxy
task-card-audit-1-full,2026-05-31,task-card-audit-1,Full,audit,low,361359,3314,318464,39000,0.468451,0.890898,0.009171,0.107926,0.675187,4.000000,true,0,0,task-scoped-session-closer,1,thread=019e79e3-43c6-7241-9a38-e8f8c5f3c274; artifact=diagnosis-card-full.md; bei=experimental_proxy
completed-archive-audit-1-full,2026-05-31,completed-archive-audit-1,Full,audit,low,694192,5667,628736,39000,0.475261,0.941594,0.008163,0.056180,0.718853,4.500000,true,0,0,task-scoped-session-closer,1,thread=019e79e3-6b83-7093-b992-fe560db50a98; artifact=diagnosis-archive-full.md; bei=experimental_proxy
completed-archive-audit-1-lite,2026-05-31,completed-archive-audit-1,Lite,audit,low,200038,2234,162432,39000,0.448125,0.806386,0.011168,0.194963,0.677148,4.000000,true,0,0,task-scoped-session-closer,1,thread=019e79e3-8fd6-75c2-aeb6-f89d49e4f16f; artifact=implementation-archive-lite.md; bei=experimental_proxy
fixture-inventory-1-lite,2026-05-31,fixture-inventory-1,Lite,fixture-inventory,low,235321,2914,213504,39000,0.475695,0.845547,0.012383,0.165731,0.727336,4.500000,true,0,0,gcs-scene-behavior-steward;gcs-quality-steward,1,thread=019e79ea-7a2e-7912-b110-0c32e63f8ec8; artifact=basic-fixtures-lite.md; bei=experimental_proxy
fixture-inventory-1-full,2026-05-31,fixture-inventory-1,Full,fixture-inventory,low,1177419,8146,1107584,39000,0.484719,0.965986,0.006919,0.033123,0.672309,4.000000,true,0,0,gcs-scene-behavior-steward;gcs-quality-steward,1,thread=019e79eb-11f7-74b3-9e9f-252ed0ae81a0; artifact=json-fixtures-full.md; bei=experimental_proxy
python-gui-smoke-1-lite,2026-05-31,python-gui-smoke-1,Lite,gui-smoke,low,255570,3734,206848,39000,0.447318,0.841365,0.014610,0.152600,0.333953,4.000000,false,0,1,gcs-python-gui-builder,1,thread=019e79eb-11ff-7f13-afe6-9cb7008b76e8; artifact=screens-lite.md; missing_matplotlib; bei=experimental_proxy
python-gui-smoke-1-full,2026-05-31,python-gui-smoke-1,Full,gui-smoke,low,515939,6077,451200,39000,0.466531,0.920441,0.011779,0.075590,0.770210,5.000000,true,0,0,gcs-python-gui-builder,1,thread=019e79eb-11f7-74b3-9e9f-25091243bbb1; artifact=bridge-modules-full.md; bei=experimental_proxy
